Q5420324	Exim Bank
Q6954289	NIC Bank Tanzania
Q17097901	Tanzania Telecommunications Company Limited
Q19600134	Amana Bank
Q28403381	Dangote Industries Tanzania
Q42954599	First Housing Company Tanzania Limited
Q4855940	Bank M
Q5058479	Airtel Tanzania
Q5221953	Dar es Salaam Community Bank
Q5424652	FBME Bank
Q5453416	First National Bank of Tanzania
Q5965486	I&M Bank
Q6715977	Tigo Tanzania
Q6885508	Mkombozi Commercial Bank
Q6970894	National Bank of Commerce
Q6974322	NMB Bank Plc
Q7165471	People's Bank of Zanzibar
Q7598201	Standard Chartered Tanzania
Q7684123	Tanzania Investment Bank
Q7684139	Tanzania Women's Bank Limited
Q7939274	Vodacom Tanzania
Q17109632	Natural Gas Revenue Fund
Q23034974	Smile Communications Tanzania
Q25043764	Tanzania Petroleum Development Corporation
Q25053161	Tanzania Agricultural Development Bank
Q25054185	Swala Gas and Oil
Q25230788	AccessBank Tanzania
Q30271563	AIM Group (Tanzania)
Q930225	Ecobank
Q2882890	Atlantic Bank Group
Q23303066	Grain de Sel Togo, Inc.
Q2297197	Tunisian Railways
Q549445	Banque de Tunisie
Q2075429	Compagnie Tunisienne de Navigation
Q2719231	Monoprix Tunisia
Q584121	Compagnie des phosphates de Gafsa
Q690739	Arab International Bank of Tunisia
Q2842699	Amen Bank
Q2859329	Arab Tunisian Bank
Q2883413	National Agricultural Bank
Q3055273	Tunisian National Oil Company
Q2826714	Tunisian Internet Agency
Q2882969	Banque Zitouna
Q3488699	Tunisian Company of Electricity and Gas
Q3591531	Établissement de la Télévision Tunisienne
Q1662114	Industries Mécaniques Maghrébines
Q3399820	La Poste Tunisienne
Q3488204	Société des transports de Tunis
Q3550305	UIB
Q18922571	DigitalMania
Q19885798	Dar El Jeld
Q26257936	Funduk El Attarine
Q3117601	Zouari Group
Q60846212	Central Pharmacy of Tunisia
Q3349645	National Sanitation Utility
Q3488518	National Oil Distribution Society
Q12184640	Qatar National Bank Tunisia
Q17630440	National Institute of Standardization and Industrial Property
Q16663638	Masmoudi
Q30261776	Compagnie Africaine des Peintures
Q97065019	Compagnie Tunisienne de Forage
Q30261667	Alternative Energy Systems (Tunisia)
Q30261848	Graphtech (Tunisia)
Q30262031	Sarost (Tunisia)
Q30271569	Coxswain Social Investment Plus (Tunisia)
Q85724580	Photo Morand
Q30261784	Etablissements Abdelmoula (Tunisia)
Q30261869	International Drilling Services (Tunisia)
Q30261934	Maison Arabe de Software et de Hardware (Tunisia)
Q30262029	Solar23 Tunisie (Tunisia)
Q4049683	Société tchadienne des postes et de l'épargne
Q2998586	Cotontchad
Q7563960	SotelTchad
Q5152460	Commercial Bank Chad
Q6464559	La Poste du Bénin
Q2929863	Bénin Télécoms
Q4352118	La Poste Burkina Faso
Q2297165	Société Nationale d'électricité du Burkina Faso
Q2405619	Onatel
Q7399591	Sahelis Productions
Q7829491	Tovio
Q5280435	Direction des services postaux de l'Office National des Postes et de l'Épargne
Q5323699	Enerca
Q17037531	Socatel
Q4857065	Banque Internationale pour la Centrafrique
Q4857069	Banque Populaire Maroco Centrafricaine
Q5152459	Commercial Bank Centrafrique
Q5611288	Groupe Kamach
Q17636121	Orange Centrafrique
Q25383055	Telecel Centrafrique
Q25383122	Moov Centrafrique
Q1432750	TAZARA Railway
Q634385	Konkola Copper Mines
Q1877680	Lusaka Stock Exchange
Q145518	Zambia Railways
Q8063035	ZESCO
Q145520	Zambia Sugar
Q145456	Zambeef Products
Q145493	ZCCM Investments Holdings
Q16254083	Mopani Copper Mine
Q145510	Zambia National Commercial Bank
Q145524	Zambian Breweries
Q579436	Investrust Bank
Q1300712	Indo-Zambia Bank Limited
Q1338630	Standard Chartered Zambia
Q8065957	Zamtel
Q145498	Zambia National Energy Corporation
Q114660	British American Tobacco (Zambia)
Q145486	Zambia Bata Shoe Company
Q807953	Barclays Bank of Zambia
Q1206691	Development Bank of Zambia
Q1416145	Finance Bank Zambia
Q5452277	First Alliance Bank Zambia Limited
Q8062936	ZAMNET
Q16824244	Access Bank Zambia
Q8065703	Zambian News Agency
Q5000990	Burundi National Radio and Television
Q7386093	Régie Nationale des Postes
Q6045522	Interbank Burundi
Q18110736	Brarudi
Q539206	Debswana
Q2380000	Botswana Stock Exchange
Q4948874	BotswanaPost
Q2412929	Motor Company of Botswana
Q4854032	BancABC
Q4855923	Bank Gaborone
Q4948910	Botswana Power Corporation
Q4948925	Botswana Telecommunications Corporation
Q5104860	Choppies
Q16995641	Kgalagadi Breweries Limited
Q18356125	MASCOM
Q19903402	Letshego Holdings Limited
Q28401708	Sprint Couriers
Q28446497	Letshego Financial Services Botswana
Q50040162	Botswana Vaccine Institute (Botswana)
Q4191917	Zimbabwe Stock Exchange
Q7373789	Royal Bank Zimbabwe
Q8071980	Zimbabwe Electricity Supply Authority
Q4689757	African Distillers
Q5951995	Hwange Colliery
Q6370467	Kariba Ferries
Q4944616	Border Timbers
Q17087648	Zimplow Limited
Q4653951	ART Holdings
Q4689929	African Sun Limited
Q4693887	Agricultural Development Bank of Zimbabwe
Q4827992	Avelgood
Q5009369	CBZ Bank Limited
Q5009370	CBZ Holdings
Q5010912	CFX Bank
Q5142146	Colcom Foods
Q5175677	Cotton Company of Zimbabwe
Q5254602	Delta Corporation
Q5283316	District Development Fund
Q5333157	Ecobank Zimbabwe
Q5424553	FBC Bank
Q6046477	Interfin Bank
Q6714682	MBCA Bank
Q6824997	Metropolitan Bank of Zimbabwe
Q7804925	Time Bank Zimbabwe
Q7848105	Trust Banking Corporation
Q8062968	ZB Bank Limited
Q8071968	Zimbabwe Allied Banking Group
Q16968949	Net*One
Q17107908	NMB Bank Limited
Q19904160	Fidelity Printers and Refinery
Q23012355	Zimbabwe Defence Industries
Q24235941	People's Own Savings Bank
Q55985886	advertie
Q30338641	Syngenta (Zimbabwe)
Q3488536	Société Nationale des Pétroles du Congo
Q5160546	Congolese Posts and Savings Company
Q16739794	Warid Congo
Q63378344	Hydro-Congo
Q1481581	National Railway Company of the Congo
Q391647	Gécamines
Q1577006	Société commerciale des transports et des ports
Q1890153	Trust Merchant Bank
Q3416518	Radio-Télévision nationale congolaise
Q3488513	Société nationale d'électricité
Q2828209	Kivu Air
Q2923625	Bralima Brewery
